"pg","era","date","season","week","neutral","playoff","visitor","visitor.abbr","home","home.abbr","visitor.score","v.offense","v.defense","home.score","h.offense","h.defense","margin","home.wins","visitor.elo.538","home.elo.538","home.prob.538"
"https://www.pro-football-reference.com/boxscores/192510040rii.htm",1,1925-10-04,1925,266,0,0,"Green Bay Packers","GB","Rock Island Independents","RII",0,0,0,3,3,0,3,1,1581.267,1502.777,0.480596079328695
"https://www.pro-football-reference.com/boxscores/192510040cbd.htm",1,1925-10-04,1925,266,0,0,"Dayton Triangles","DAY","Canton Bulldogs","CBD",0,0,0,14,14,0,14,1,1429.621,1511.166,0.699218844039893
"https://www.pro-football-reference.com/boxscores/192510040crd.htm",1,1925-10-04,1925,266,0,0,"Milwaukee Badgers","MIL","Chicago Cardinals","ARI",0,0,0,34,34,0,34,1,1477.16,1478.723,0.594636820542016
"https://www.pro-football-reference.com/boxscores/192510040ptb.htm",1,1925-10-04,1925,266,0,0,"Providence Steam Roller","PRV","Pottsville Maroons","PTB",6,0,6,0,0,0,6,0,1488.145,1501.126,0.61037641169424
"https://www.pro-football-reference.com/boxscores/192510040akr.htm",1,1925-10-04,1925,266,0,0,"Kansas City Cowboys","KCB","Akron Pros","AKR",7,7,0,14,14,0,7,1,1394.143,1460.459,0.680466323327684
"https://www.pro-football-reference.com/boxscores/192510100fyj.htm",1,1925-10-10,1925,267,0,0,"Canton Bulldogs","CBD","Frankford Yellow Jackets","FYJ",7,7,0,12,12,0,5,1,1526.44,1596.69,0.68537001971176
"https://www.pro-football-reference.com/boxscores/192510110bff.htm",1,1925-10-11,1925,267,0,0,"Akron Pros","AKR","Buffalo Bisons","BFF",0,0,0,0,0,0,0,0.5,1473,1413.875,0.508453998889294
"https://www.pro-football-reference.com/boxscores/192510110dpn.htm",1,1925-10-11,1925,267,0,0,"Frankford Yellow Jackets","FYJ","Detroit Panthers","DPN",0,0,0,3,3,0,3,1,1607.312,1337.683,0.235422933607458
"https://www.pro-football-reference.com/boxscores/192510110prv.htm",1,1925-10-11,1925,267,0,0,"New York Giants","NYG","Providence Steam Roller","PRV",0,0,0,14,0,14,14,1,1300,1512.773,0.831877165537039
"https://www.pro-football-reference.com/boxscores/192510110ptb.htm",1,1925-10-11,1925,267,0,0,"Canton Bulldogs","CBD","Pottsville Maroons","PTB",0,0,0,28,21,7,28,1,1515.818,1476.498,0.536889338127391
"https://www.pro-football-reference.com/boxscores/192510110gnb.htm",1,1925-10-11,1925,267,0,0,"Milwaukee Badgers","MIL","Green Bay Packers","GB",0,0,0,31,31,0,31,1,1449.183,1566.777,0.740985220538456
"https://www.pro-football-reference.com/boxscores/192510110chi.htm",1,1925-10-11,1925,267,0,0,"Hammond Pros","HAM","Chicago Bears","CHI",7,7,0,28,28,0,21,1,1467.883,1582.135,0.737275844253673
"https://www.pro-football-reference.com/boxscores/192510110crd.htm",1,1925-10-11,1925,267,0,0,"Columbus Tigers","COL","Chicago Cardinals","ARI",9,9,0,19,12,7,10,1,1454.899,1506.701,0.662032824141321
"https://www.pro-football-reference.com/boxscores/192510110dul.htm",1,1925-10-11,1925,267,0,0,"Rock Island Independents","RII","Duluth Kelleys","DUL",12,12,0,0,0,0,12,0,1517.267,1479.216,0.538705137794823
"https://www.pro-football-reference.com/boxscores/192510110cib.htm",1,1925-10-11,1925,267,0,0,"Kansas City Cowboys","KCB","Cleveland Bulldogs","CIB",13,7,6,16,16,0,3,1,1381.602,1521.413,0.764765594763143
"https://www.pro-football-reference.com/boxscores/192510170fyj.htm",1,1925-10-17,1925,268,0,0,"New York Giants","NYG","Frankford Yellow Jackets","FYJ",3,3,0,5,3,2,2,1,1291.915,1583.939,0.886471528302705
"https://www.pro-football-reference.com/boxscores/192510180dpn.htm",1,1925-10-18,1925,268,0,0,"Dayton Triangles","DAY","Detroit Panthers","DPN",0,0,0,6,6,0,6,1,1414.348,1361.055,0.516841353985315
"https://www.pro-football-reference.com/boxscores/192510180chi.htm",1,1925-10-18,1925,268,0,0,"Cleveland Bulldogs","CIB","Chicago Bears","CHI",0,0,0,7,7,0,7,1,1527.38,1597.153,0.684777612796352
"https://www.pro-football-reference.com/boxscores/192510180gnb.htm",1,1925-10-18,1925,268,0,0,"Rock Island Independents","RII","Green Bay Packers","GB",0,0,0,20,20,0,20,1,1545.245,1583.355,0.644179006868372
"https://www.pro-football-reference.com/boxscores/192510180bff.htm",1,1925-10-18,1925,268,0,0,"Columbus Tigers","COL","Buffalo Bisons","BFF",6,6,0,17,17,0,11,1,1439.508,1413.617,0.556045859247223
"https://www.pro-football-reference.com/boxscores/192510180crd.htm",1,1925-10-18,1925,268,0,0,"Kansas City Cowboys","KCB","Chicago Cardinals","ARI",7,7,0,20,20,0,13,1,1375.636,1522.092,0.771577226370398
"https://www.pro-football-reference.com/boxscores/192510180nyg.htm",1,1925-10-18,1925,268,0,0,"Frankford Yellow Jackets","FYJ","New York Giants","NYG",14,14,0,0,0,0,14,0,1586.085,1289.769,0.208901120476532
"https://www.pro-football-reference.com/boxscores/192510180cbd.htm",1,1925-10-18,1925,268,0,0,"Akron Pros","AKR","Canton Bulldogs","CBD",20,20,0,3,3,0,17,0,1473.258,1484.989,0.608663827695817
"https://www.pro-football-reference.com/boxscores/192510180prv.htm",1,1925-10-18,1925,268,0,0,"Pottsville Maroons","PTB","Providence Steam Roller","PRV",34,34,0,0,0,0,34,0,1507.327,1520.857,0.611127721745077
"https://www.pro-football-reference.com/boxscores/192510240fyj.htm",1,1925-10-24,1925,269,0,0,"Dayton Triangles","DAY","Frankford Yellow Jackets","FYJ",0,0,0,3,3,0,3,1,1395.644,1596.323,0.821914303760532
"https://www.pro-football-reference.com/boxscores/192510250dpn.htm",1,1925-10-25,1925,269,0,0,"Akron Pros","AKR","Detroit Panthers","DPN",0,0,0,0,0,0,0,0.5,1509.714,1379.76,0.407597706284402
"https://www.pro-football-reference.com/boxscores/192510250crd.htm",1,1925-10-25,1925,269,0,0,"Chicago Bears","CHI","Chicago Cardinals","ARI",0,0,0,9,9,0,9,1,1609.506,1533.091,0.483578402825939
"https://www.pro-football-reference.com/boxscores/192510250rii.htm",1,1925-10-25,1925,269,0,0,"Kansas City Cowboys","KCB","Rock Island Independents","RII",3,3,0,3,3,0,0,0.5,1364.637,1524.549,0.784941236239639
"https://www.pro-football-reference.com/boxscores/192510250gnb.htm",1,1925-10-25,1925,269,0,0,"Rochester Jeffersons","RCH","Green Bay Packers","GB",13,13,0,33,27,6,20,1,1362.668,1604.051,0.853670245365694
"https://www.pro-football-reference.com/boxscores/192510310fyj.htm",1,1925-10-31,1925,270,0,0,"Columbus Tigers","COL","Frankford Yellow Jackets","FYJ",0,0,0,19,6,13,19,1,1417.83,1600.729,0.806436784055318
"https://www.pro-football-reference.com/boxscores/192511010chi.htm",1,1925-11-01,1925,270,0,0,"Rock Island Independents","RII","Chicago Bears","CHI",0,0,0,6,6,0,6,1,1515.858,1585.6,0.684739091728495
"https://www.pro-football-reference.com/boxscores/192511010prv.htm",1,1925-11-01,1925,270,0,0,"Rochester Jeffersons","RCH","Providence Steam Roller","PRV",0,0,0,17,9,8,17,1,1354.847,1475.793,0.744671307792429
"https://www.pro-football-reference.com/boxscores/192511010nyg.htm",1,1925-11-01,1925,270,0,0,"Cleveland Bulldogs","CIB","New York Giants","NYG",0,0,0,19,19,0,19,1,1515.027,1279.531,0.272603399335796
"https://www.pro-football-reference.com/boxscores/192511010ptb.htm",1,1925-11-01,1925,270,0,0,"Columbus Tigers","COL","Pottsville Maroons","PTB",0,0,0,20,20,0,20,1,1407.407,1552.391,0.770080369551681
"https://www.pro-football-reference.com/boxscores/192511010akr.htm",1,1925-11-01,1925,270,0,0,"Dayton Triangles","DAY","Akron Pros","AKR",3,3,0,17,17,0,14,1,1391.238,1506.896,0.738840559943337
"https://www.pro-football-reference.com/boxscores/192511010mil.htm",1,1925-11-01,1925,270,0,0,"Green Bay Packers","GB","Milwaukee Badgers","MIL",6,6,0,0,0,0,6,0,1611.872,1432.605,0.341239890055486
"https://www.pro-football-reference.com/boxscores/192511010crd.htm",1,1925-11-01,1925,270,0,0,"Duluth Kelleys","DUL","Chicago Cardinals","ARI",6,6,0,10,10,0,4,1,1451.238,1556.997,0.727696699568448
"https://www.pro-football-reference.com/boxscores/192511010dpn.htm",1,1925-11-01,1925,270,0,0,"Hammond Pros","HAM","Detroit Panthers","DPN",6,6,0,26,26,0,20,1,1452.865,1382.578,0.49239198262054
"https://www.pro-football-reference.com/boxscores/192511010bff.htm",1,1925-11-01,1925,270,0,0,"Frankford Yellow Jackets","FYJ","Buffalo Bisons","BFF",12,6,6,3,3,0,9,0,1611.151,1435.295,0.345667470373709
"https://www.pro-football-reference.com/boxscores/192511030nyg.htm",1,1925-11-03,1925,270,0,0,"Buffalo Bisons","BFF","New York Giants","NYG",0,0,0,7,7,0,7,1,1420.14,1326.774,0.459268506030014
"https://www.pro-football-reference.com/boxscores/192511070fyj.htm",1,1925-11-07,1925,271,0,0,"Akron Pros","AKR","Frankford Yellow Jackets","FYJ",7,7,0,17,17,0,10,1,1519.968,1626.306,0.728356644509147
"https://www.pro-football-reference.com/boxscores/192511080cbd.htm",1,1925-11-08,1925,271,0,0,"Cleveland Bulldogs","CIB","Canton Bulldogs","CBD",0,0,0,6,6,0,6,1,1467.784,1448.532,0.565458795554434
"https://www.pro-football-reference.com/boxscores/192511080prv.htm",1,1925-11-08,1925,271,0,0,"Buffalo Bisons","BFF","Providence Steam Roller","PRV",0,0,0,10,3,7,10,1,1397.358,1489.403,0.711775669758828
"https://www.pro-football-reference.com/boxscores/192511080nyg.htm",1,1925-11-08,1925,271,0,0,"Columbus Tigers","COL","New York Giants","NYG",0,0,0,19,13,6,19,1,1394.627,1349.556,0.52864872332016
"https://www.pro-football-reference.com/boxscores/192511080chi.htm",1,1925-11-08,1925,271,0,0,"Frankford Yellow Jackets","FYJ","Chicago Bears","CHI",0,0,0,19,19,0,19,1,1638.393,1597.161,0.534151642733104
"https://www.pro-football-reference.com/boxscores/192511080dpn.htm",1,1925-11-08,1925,271,0,0,"Milwaukee Badgers","MIL","Detroit Panthers","DPN",0,0,0,21,21,0,21,1,1419.98,1413.561,0.583514910456676
"https://www.pro-football-reference.com/boxscores/192511080ptb.htm",1,1925-11-08,1925,271,0,0,"Akron Pros","AKR","Pottsville Maroons","PTB",0,0,0,21,21,0,21,1,1507.881,1565.171,0.669064688616197
"https://www.pro-football-reference.com/boxscores/192511080crd.htm",1,1925-11-08,1925,271,0,0,"Green Bay Packers","GB","Chicago Cardinals","ARI",6,6,0,9,9,0,3,1,1624.497,1565.131,0.508107267149703
"https://www.pro-football-reference.com/boxscores/192511110nyg.htm",1,1925-11-11,1925,272,0,0,"Rochester Jeffersons","RCH","New York Giants","NYG",0,0,0,13,13,0,13,1,1341.237,1377.543,0.641795166381799
"https://www.pro-football-reference.com/boxscores/192511110dpn.htm",1,1925-11-11,1925,272,0,0,"Cleveland Bulldogs","CIB","Detroit Panthers","DPN",13,13,0,22,22,0,9,1,1451.217,1438.64,0.574875406498175
"https://www.pro-football-reference.com/boxscores/192511140fyj.htm",1,1925-11-14,1925,272,0,0,"Pottsville Maroons","PTB","Frankford Yellow Jackets","FYJ",0,0,0,20,20,0,20,1,1584.553,1610.78,0.628350009529406
"https://www.pro-football-reference.com/boxscores/192511150gnb.htm",1,1925-11-15,1925,272,0,0,"Dayton Triangles","DAY","Green Bay Packers","GB",0,0,0,7,7,0,7,1,1378.167,1610.893,0.847334802316108
"https://www.pro-football-reference.com/boxscores/192511150chi.htm",1,1925-11-15,1925,272,0,0,"Detroit Panthers","DPN","Chicago Bears","CHI",0,0,0,14,7,7,14,1,1457.762,1624.774,0.791760226966243
"https://www.pro-football-reference.com/boxscores/192511150ptb.htm",1,1925-11-15,1925,272,0,0,"Rochester Jeffersons","RCH","Pottsville Maroons","PTB",6,6,0,14,14,0,8,1,1323.163,1562.824,0.852427639812531
"https://www.pro-football-reference.com/boxscores/192511150crd.htm",1,1925-11-15,1925,272,0,0,"Buffalo Bisons","BFF","Chicago Cardinals","ARI",6,6,0,23,21,2,17,1,1384.456,1578.734,0.816456830604877
"https://www.pro-football-reference.com/boxscores/192511150nyg.htm",1,1925-11-15,1925,272,0,0,"Providence Steam Roller","PRV","New York Giants","NYG",12,10,2,13,13,0,1,1,1502.305,1395.618,0.44029382708701
"https://www.pro-football-reference.com/boxscores/192511150rii.htm",1,1925-11-15,1925,272,0,0,"Kansas City Cowboys","KCB","Rock Island Independents","RII",12,12,0,35,35,0,23,1,1373.327,1504.297,0.755486982359287
"https://www.pro-football-reference.com/boxscores/192511210fyj.htm",1,1925-11-21,1925,273,0,0,"Cleveland Bulldogs","CIB","Frankford Yellow Jackets","FYJ",14,7,7,0,0,0,14,0,1432.095,1632.509,0.821690910336522
"https://www.pro-football-reference.com/boxscores/192511220cbd.htm",1,1925-11-22,1925,273,0,0,"Columbus Tigers","COL","Canton Bulldogs","CBD",0,0,0,6,6,0,6,1,1366.639,1465.099,0.719291795364043
"https://www.pro-football-reference.com/boxscores/192511220crd.htm",1,1925-11-22,1925,273,0,0,"Dayton Triangles","DAY","Chicago Cardinals","ARI",0,0,0,14,14,0,14,1,1372.575,1588.226,0.834181477100319
"https://www.pro-football-reference.com/boxscores/192511220dpn.htm",1,1925-11-22,1925,273,0,0,"Rochester Jeffersons","RCH","Detroit Panthers","DPN",0,0,0,20,20,0,20,1,1317.467,1447.56,0.754553203892117
"https://www.pro-football-reference.com/boxscores/192511220chi.htm",1,1925-11-22,1925,273,0,0,"Green Bay Packers","GB","Chicago Bears","CHI",0,0,0,21,21,0,21,1,1616.486,1634.976,0.617891216093698
"https://www.pro-football-reference.com/boxscores/192511220nyg.htm",1,1925-11-22,1925,273,0,0,"Kansas City Cowboys","KCB","New York Giants","NYG",3,3,0,9,9,0,6,1,1359.056,1403.527,0.652527040422695
"https://www.pro-football-reference.com/boxscores/192511220ptb.htm",1,1925-11-22,1925,273,0,0,"Cleveland Bulldogs","CIB","Pottsville Maroons","PTB",6,6,0,24,10,14,18,1,1482.704,1568.52,0.704364079822458
"https://www.pro-football-reference.com/boxscores/192511220prv.htm",1,1925-11-22,1925,273,0,0,"Frankford Yellow Jackets","FYJ","Providence Steam Roller","PRV",7,7,0,20,13,7,13,1,1581.899,1494.396,0.46766078816784
"https://www.pro-football-reference.com/boxscores/192511220rii.htm",1,1925-11-22,1925,273,0,0,"Milwaukee Badgers","MIL","Rock Island Independents","RII",7,0,7,40,26,14,33,1,1394.901,1518.567,0.747636954535671
"https://www.pro-football-reference.com/boxscores/192511260chi.htm",1,1925-11-26,1925,274,0,0,"Chicago Cardinals","ARI","Chicago Bears","CHI",0,0,0,0,0,0,0,0.5,1596.191,1657.735,0.674464125869857
"https://www.pro-football-reference.com/boxscores/192511260ptb.htm",1,1925-11-26,1925,274,0,0,"Green Bay Packers","GB","Pottsville Maroons","PTB",0,0,0,31,24,7,31,1,1593.727,1584.813,0.580020359111715
